,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft
22,28,676477,"Whitlock, Garrett",1150,2.4,0.155,0.139,28,89.5,7.4,2074,94.5,93.42,12,28,0,1.7,7.2,5.5
23,26,676051,"Heuer, Codi",1049,2.5,0.191,0.192,24,86.8,3.8,2321,94.2,93.1,5,26,0,1.4,7.18,5.63
24,74,571670,"Floro, Dylan",1076,6.9,0.147,0.129,73,83.7,1.8,2091,91.4,91.28,20,65,9,-0.1,6.37,5.98
25,163,445276,"Jansen, Kenley",1071,15.2,0.104,0.099,161,80.7,22.5,2542,93.1,91.79,61,151,12,0.5,7.12,6.41
26,62,592390,"Hembree, Heath",1090,5.7,0.104,0.097,62,89.7,24.1,2674,91.8,91.82,22,58,4,0.5,6.63,5.77
27,35,518617,"Diekman, Jake",1118,3.1,0.184,0.144,34,86.1,22.4,2405,91.3,91.25,10,31,4,0.0,6.35,5.74
28,58,675916,"Karinchak, James",1032,5.6,0.128,0.106,57,89.6,17.5,2287,91.1,90.77,19,51,7,-0.3,5.99,6.48
29,31,624133,"Suárez, Ranger",1614,1.9,0.147,0.137,31,83.0,-4.2,1785,90.7,90.71,4,25,6,0.0,6.25,5.91
30,57,606149,"Gallegos, Giovanny",1236,4.6,0.133,0.102,56,86.9,28.9,2393,90.6,89.68,21,56,1,-0.9,5.72,6.62
31,101,517008,"Colomé, Alex",1102,9.2,0.17,0.145,100,88.5,3.6,2124,90.3,90.24,25,96,5,-0.1,6.17,6.35
32,27,595014,"Treinen, Blake",1095,2.5,0.089,0.092,27,72.0,12.2,2332,89.8,88.61,8,22,5,-1.2,5.56,6.34
33,25,670950,"Richards, Trevor",1061,2.4,0.122,0.101,25,88.7,28.2,2221,89.4,79.0,7,24,1,-10.4,6.44,6.31
34,147,453343,"Melancon, Mark",1053,14.0,0.159,0.154,147,84.8,-5.5,2367,88.7,88.46,30,131,16,-0.2,6.25,6.37
35,80,593576,"Neris, Héctor",1243,6.4,0.122,0.106,78,85.6,16.4,1707,88.5,88.35,26,68,12,-0.2,6.25,5.82
36,52,623149,"Sewald, Paul",1104,4.7,0.116,0.101,52,86.2,25.5,2335,88.4,88.49,20,48,4,0.1,6.43,4.57
37,52,608717,"Stratton, Chris",1374,3.8,0.083,0.079,52,85.1,6.1,2699,88.2,88.9,20,49,3,0.7,6.6,5.94
38,28,429722,"Santana, Ervin",1063,2.6,0.208,0.159,28,92.5,8.9,2268,87.7,87.56,8,27,1,-0.1,5.96,6.12
39,78,605130,"Barlow, Scott",1223,6.4,0.145,0.131,78,85.9,21.0,2394,87.6,88.53,21,75,3,0.9,6.75,5.37
40,177,519293,"Smith, Will",1079,16.4,0.119,0.109,175,86.6,22.2,2266,96.0,87.52,62,159,18,0.1,6.3,6.68
41,110,543272,"Hand, Brad",1076,10.2,0.17,0.151,107,84.2,14.5,2342,87.0,85.7,24,98,12,-1.3,5.55,6.22
42,36,493603,"Ottavino, Adam",1146,3.1,0.109,0.115,35,78.1,12.3,2550,86.9,87.78,15,34,2,0.9,6.91,5.53
43,42,642121,"Sulser, Cole",1070,3.9,0.16,0.137,42,89.7,14.7,1860,86.9,87.35,14,40,2,0.5,6.66,5.88
44,34,643256,"Cimber, Adam",1022,3.3,0.173,0.176,34,86.8,15.0,2254,85.2,84.73,6,30,4,-0.5,6.36,2.13
45,28,476595,"Luetge, Lucas",1241,2.3,0.114,0.117,28,83.7,9.9,2646,84.1,84.28,10,24,4,0.2,6.31,6.18
46,40,489265,"Romo, Sergio",1043,3.8,0.171,0.138,39,89.3,23.5,2497,80.1,80.13,10,37,3,0.0,6.48,4.91
47,63,643511,"Rogers, Tyler",1129,5.6,0.165,0.169,63,82.0,3.0,2062,78.1,73.12,4,59,4,-5.0,5.89,1.19
